,concept_code,concept_id
1,N0000184420,42704777
2,N0000185240,42874525
3,N0000190373,44815173
4,N0000189810,44814949
5,N0000170911,4315838
6,MMR #3 VIS,2000137463
7,N0000189623,44814885
8,N0000188815,44507231
9,MMR #2 VIS,2000137455
10,N0000188079,43561798
11,N0000187728,43561447
12,N0000151139,42856373
13,162348,45922331
14,N0000170910,4315837
15,MMR BOOST LT,2000137467
16,706331000168102,2969966
17,N0000181907,40232927
18,N0000187644,43561363
19,N0000185928,43014496
20,N0000184412,42704769
21,N0000188760,44507176
22,N0000186833,43527797
23,170432003,3393686
24,170364006,3287912
25,170363000,3112896
26,432636005,3235172
27,OMOP1144333,35410748
28,OMOP1041969,44047338
29,"MMR-V (PROQUAD), 2 DOSE, (PED/ADOL)",2000106059
30,MMR#2,2000106056
31,MMR,2000106045
32,1658027,46275151
33,OMOP182223,44624349
34,OMOP707982,43661235
35,OMOP719245,43756063
36,OMOP1096348,44101717
37,OMOP707900,43697001
38,OMOP1142374,35408789
39,OMOP558423,43280377
40,OMOP2309230,41111268
41,OMOP3099335,36407293
42,375265,40064425
43,OMOP3120385,36269510
44,OMOP2763479,35762018
45,OMOP1127427,44132796
46,73688000,3079997
47,4639811000001109,45972342
48,N0000190275,44815386
49,N0000185210,42874495
50,N0000190402,44815319
51,N0000189811,44815087
52,N0000189563,44815696
53,N0000188744,44507160
54,N0000188814,44507230
55,252968ca-c714-4c1c-9e60-0b699cb9362f,42881006
56,2118e356-83b6-4525-8949-d48a5ea9a21a,1323920
57,386012008,21272367
58,689581000168106,2969967
59,N0000189881,44815099
60,N0000190291,44815181
61,N0000189143,44786081
62,78950021,42520577
63,147607000,40314471
64,OMOP558365,43269491
65,OMOP707924,43624852
66,OMOP475665,43171064
67,OMOP164368,44623107
68,OMOP3123414,36272539
69,87968998,37865118
70,148507007,3100162
71,OMOP719169,43630197
72,OMOP1127397,44132766
73,1292441,42799825
74,OMOP1140816,35407231
75,OMOP955958,43855700
76,363589,40065188
77,OMOP717885,43666314
78,OMOP719237,43810042
79,OMOP719172,43719979
80,838280004,3654601
81,46042008,3069964
82,9895811000001107,21198067
83,N0000184411,42704768
84,2603505,779895
85,N0000187532,43561251
86,N0000189892,44815066
87,181b248c-613f-4ab9-ae4b-8a85fa7125d6,35901817
88,N0000184415,42704772
89,N0000189621,44815730
90,N0000188745,44507161
91,831361000168106,43329506
92,79409,45912879
93,N0000189048,44785986
94,N0000189549,44814895
95,N0000185285,42874570
96,58160083103,983042
97,6417100,46332440
98,OMOP955960,43801481
99,OMOP227425,44594004
100,94240998,37880469
101,OMOP719191,43594118
102,OMOP151817,44645792
103,OMOP3128245,36277370
104,OMOP169728,44589758
105,376994001,40552827
106,4621411000001108,46098247
107,OMOP161612,44639799
108,OMOP717903,43594050
109,N0000188746,44507162
110,N0000188884,44507300
111,94,40213184
112,N0000188833,44507249
113,N0000186806,43527770
114,N0000190318,44815317
115,N0000190141,44815147
116,14015211000001108,21179794
117,N0000187784,43561503
118,MMR BOOST MF,2000137468
119,N0000187999,43561718
120,353c6c89-209e-47fa-8946-004d88eb3345,1834693
121,N0000186846,43527810
122,N0000187474,43561193
123,N0000185166,42874451
124,000721e4-47b7-47b6-b4e9-27fe08c13d21,35509205
125,N0000189781,44814863
126,75121011000036103,2969980
127,N0000185437,42900694
128,N0000185211,42874496
129,N0000188758,44507174
130,38598009,4296954
131,572481000119103,36713288
132,3121007,3079976
133,147683003,40314555
134,634790615,35500809
135,6499901,45161615
136,49999042201,44983585
137,OMOP1145820,35412235
138,ProQuad (MMRV),2000106351
139,MMRV,2000106062
140,OMOP2728009,42728846
141,OMOP740573,43662814
142,OMOP135547,44646411
143,OMOP2122628,40924666
144,39718311000001108,614020
145,N0000187629,43561348
146,N0000187854,43561573
147,N0000189823,44814874
148,N0000190317,44815337
149,N0000187328,43561047
150,N0000187546,43561265
151,959041000168102,2969963
152,N0000189103,44786041
153,19888,35961466
154,N0000188165,43561884
155,N0000189004,44785942
156,N0000187756,43561475
157,N0000187740,43561459
158,5012,35951643
159,65MC.00,45419010
160,OMOP2009865,40811903
161,OMOP3126922,36276047
162,"Measles/Mumps/Rubella Virus Vaccines, Live",2000087699
163,4017973,1599397
164,OMOP1040122,44045491
165,562383,19115177
166,OMOP499020,43173783
167,OMOP499023,43206525
168,OMOP707916,43606945
169,OMOP707983,43822941
170,OMOP717880,43809963
171,OMOP490340,43139653
172,2603511,779900
173,OMOP4718372,40739309
174,OMOP2341634,41143672
175,547242,40117715
176,OMOP507155,43176042
177,OMOP719176,43630198
178,230631000001102,3656805
179,N0000189102,44786040
180,400449000,21310728
181,MMR #1EXP,2000137449
182,N0000188137,43561856
183,N0000184417,42704774
184,N0000187332,43561051
185,N0000190305,44815138
186,N0000189087,44786025
187,2706e63c-1577-44c4-bd02-41b7aaa379a4,830868
188,N0000185270,42874555
189,N0000188041,43561760
190,MMR BOOSTVIS,2000137471
191,3121007,4150971
192,147605008,3099328
193,6474900,45059693
194,OMOP558374,43258603
195,OMOP153625,44664618
196,4003011,4281192
197,OMOP707981,43841046
198,1099411000000103,36685571
199,OMOP3099409,36407367
200,OMOP1116212,44121581
201,OMOP1104624,44109993
202,OMOP719185,43810038
203,OMOP740574,43608546
204,OMOP707929,43859170
205,OMOP995185,36883664
206,2603507,779897
207,13968111000001102,46086590
208,53628004,4202368
209,e4620883-a624-46e3-b7d0-1feaff80b3b9,1788284
210,N0000187388,43561107
211,N0000189656,44814983
212,N0000186834,43527798
213,N0000187685,43561404
214,MMR #2RTE,2000137460
215,N0000187656,43561375
216,N0000187782,43561501
217,N0000190360,44815131
218,N0000189838,44815720
219,N0000189548,44815682
220,N0000189129,44786067
221,N0000187601,43561320
222,N0000187866,43561585
223,MMR #1LOT,2000137450
224,N0000188163,43561882
225,N0000189047,44785985
226,247040801,45146101
227,OMOP3124330,36273455
228,94241998,37876700
229,1.09938E+15,36685568
230,OMOP717906,43828039
231,OMOP719240,43738125
232,OMOP1127181,44132550
233,OMOP717876,43612009
234,OMOP1044740,44050109
235,OMOP955962,43693677
236,OMOP238356,44552762
237,OMOP3041268,44164545
238,OMOP378297,21070186
239,1658025,46275150
240,OMOP5216640,1235934
241,OMOP1127429,44132798
242,OMOP507066,43154002
243,400449000,3182282
244,386012008,3175766
245,OMOP152595,44571942
246,N0000188801,44507217
247,N0000186792,43527756
248,N0000189157,44786095
249,N0000188051,43561770
250,N0000187798,43561517
251,N0000187361,43561080
252,N0000189130,44786068
253,N0000189073,44786011
254,N0000186398,43527492
255,689651000168103,2969969
256,MMR BOOST,2000137464
257,N0000187266,43560985
258,65MB.00,45478937
259,38598009,3294135
260,334621000009104,42572596
261,6402900,44855213
262,OMOP1142732,35409147
263,OMOP178727,44615633
264,MMR-II,2000087313
265,"MMR, 2 DOSE (PED/ADULT)",2000106057
266,MMRV (PROQUAD),2000087317
267,OMOP707911,43750903
268,OMOP719198,43774095
269,OMOP3115186,36264311
270,OMOP3125378,36274503
271,OMOP2091580,40893618
272,OMOP707906,43606943
273,OMOP4703825,40753445
274,1658023,46275149
275,804182,40153141
276,378135,40065979
277,OMOP740572,43806387
278,2231000221105,3656322
279,MMR VAR#2SIT,2000137487
280,1158638,36224662
281,N0000186389,43527483
282,MTHU006965,42552527
283,N0000184540,42865212
284,N0000187796,43561515
285,N0000187853,43561572
286,N0000189795,44814887
287,N0000187461,43561180
288,N0000187476,43561195
289,N0000189173,44786111
290,831031000168101,43360628
291,N0000184416,42704773
292,N0000187329,43561048
293,209cfa40-41ef-418c-bd40-f9ca28ce555b,36345940
294,N0000184418,42704775
295,N0000185284,42874569
296,N0000188095,43561814
297,571591000119106,3297737
298,DPD135185,44153478
299,OMOP558367,43296610
300,83672998,37855286
301,OMOP1144332,35410747
302,OMOP717888,43864344
303,OMOP717909,43738057
304,OMOP719180,43791877
305,OMOP707930,43661231
306,OMOP707898,43643100
307,1292442,42799824
308,OMOP1144867,35411282
309,OMOP719197,43864420
310,OMOP220177,44618615
311,547243,594272
312,OMOP719181,43612086
313,419771007,3177411
314,OMOP717900,43684195
315,N0000189907,44814783
316,N0000185271,42874556
317,N0000185269,42874554
318,N0000187699,43561418
319,1292439,36029481
320,N0000187642,43561361
321,N0000189131,44786069
322,N0000187545,43561264
323,N0000187316,43561035
324,1292437,36244016
325,1004441000168107,2969961
326,MTHU006966,42555292
327,N0000189117,44786055
328,59690,45715604
329,65B..11,45518784
330,1.03703E+15,3547958
331,170433008,4016349
332,572511000119105,3230929
333,OMOP558368,43280365
334,MMR/VARICELLA,2000106061
335,4034277,1609787
336,OMOP1104625,44109994
337,95951992,37886660
338,158056009,3108185
339,OMOP732857,43824122
340,569669,40117710
341,804180,19131654
342,OMOP1099172,44104541
343,349688,40065977
344,836382004,3654518
345,N0000187375,43561094
346,N0000188065,43561784
347,MMR #1MFR,2000137451
348,N0000190417,44815108
349,N0000187826,43561545
350,N0000187560,43561279
351,N0000187586,43561305
352,N0000187326,43561045
353,N0000188834,44507250
354,N0000189824,44814911
355,N0000187265,43560984
356,N0000187700,43561419
357,N0000187657,43561376
358,N0000184541,42865192
359,65A..00,45445397
360,70382020,45738727
361,5-685.4,42751310
362,396427003,3197901
363,209037,19040342
364,MMRV,2000087316
365,MMR (2),2000106053
366,OMOP173279,44606842
367,97708992,37891919
368,OMOP707919,43588899
369,OMOP1127264,44132633
370,OMOP1127398,44132767
371,OMOP955957,43747504
372,OMOP707940,43643104
373,OMOP707922,43697002
374,OMOP4777828,36789582
375,1657998,46275134
376,OMOP719233,43738123
377,OMOP717907,43738056
378,2122273,1511432
379,3719ce7f-e138-413a-b1a8-7402c2f5db9e,36161824
380,N0000189115,44786053
381,N0000190333,44815263
382,73eae9fc-507b-4c9c-883d-63eb2e3cc6f6,46320544
383,N0000188066,43561785
384,N0000187600,43561319
385,N0000189865,44815059
386,23c30c01-38a4-42bf-9103-9c8cb5ea9992,37500290
387,N0000187812,43561531
388,25072801-fa55-47f3-99b0-23cc9e743957,1206172
389,N0000187769,43561488
390,N0000187867,43561586
391,831141000168109,43360627
392,N0000185181,42874466
393,N0000189622,44815085
394,N0000183907,42704382
395,MMR VAR#2,2000137481
396,N0000189145,44786083
397,5-685.41,42778798
398,147673002,40314544
399,OMOP955963,43621554
400,OMOP4984454,36058798
401,OMOP2185077,40987115
402,OMOP236503,44628371
403,OMOP707933,43768868
404,OMOP719189,43774094
405,OMOP166143,44572906
406,OMOP1127252,44132621
407,871766009,3656189
408,11474211000001103,45960318
409,MMR #2MFR,2000137459
410,N0000187714,43561433
411,N0000184559,42865218
412,99.45,36910123
413,N0000187431,43561150
414,N0000187713,43561432
415,MMR #2BY,2000137456
416,N0000189880,44814841
417,N0000188871,44507287
418,831041000168105,43348871
419,3095a45f-3816-4250-8c52-cc247aec3809,1110042
420,N0000183141,40242955
421,N0000189089,44786027
422,N0000187376,43561095
423,24fee5f1-7612-4481-b521-e34d7bd9aed0,3944309
424,N0000187671,43561390
425,99.45,2008321
426,433733003,4196595
427,OMOP490343,43194686
428,measles virus vaccine,2000106993
429,4003016,4280041
430,"MMR (12-15M,4-6YR)",2000106052
431,OMOP558364,43258600
432,93766998,37878374
433,OMOP955944,43639704
434,OMOP707928,43624853
435,783245001,37204542
436,OMOP717884,43684191
437,OMOP558363,43258599
438,OMOP707901,43643101
439,333256,19089501
440,349687,40065971
441,OMOP719161,43702264
442,33329007,4142636
443,61153008,4246875
444,OMOP507152,43208834
445,OMOP1148181,35414596
446,OMOP506910,43219807
447,N0000186399,43527493
448,N0000187502,43561221
449,N0000190374,44815207
450,N0000185926,43014494
451,N0000187403,43561122
452,N0000187628,43561347
453,MMR VAR#2VIS,2000137488
454,MMR #1RTE,2000137452
455,N0000187658,43561377
456,N0000186847,43527811
457,N0000187998,43561717
458,505001000000109,44802789
459,147673002,3099393
460,64681,45213010
461,OMOP2727991,42715919
462,OMOP499022,43151616
463,OMOP1106431,44111800
464,"MMR, VARIVAX",2000087312
465,2603509,779898
466,OMOP1144096,35410511
467,346512,590676
468,OMOP2725130,42714535
469,OMOP955929,43675949
470,OMOP707909,43859169
471,OMOP717887,43809964
472,353499,594250
473,350964,19097994
474,OMOP3110132,36259257
475,OMOP717908,43719907
476,OMOP1148220,35414635
477,419550004,3184006
478,11473911000001105,46090455
479,376994001,3152991
480,440075005,3168028
481,OMOP991334,36896194
482,N0000185167,42874452
483,N0000187333,43561052
484,N0000188108,43561827
485,N0000186805,43527769
486,N0000189116,44786054
487,3280034f-4834-47f3-90a0-b4fade13268f,36093627
488,N0000190346,44815235
489,N0000187997,43561716
490,N0000190347,44815144
491,N0000189852,44815020
492,N0000186819,43527783
493,N0000185436,42900693
494,90707,2213466
495,N0000190303,44815112
496,N0000188729,44507145
497,MMR #1SITE,2000137453
498,dae3d1ef-3b78-4b50-840b-a2961e873ca2,42884111
499,N0000189075,44786013
500,959021000168108,2969964
