State,Abbreviation,"Dates with 
religious exemption","Dates without 
religous exemption","Dates with personal 
beliefs exemption","Dates without personal
beliefs exemption"
Alabama,AL,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Alaska,AK,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Arizona,AZ,01/01/1988-04/28/2025,,12/31/1991-04/28/2025,01/01/1988-12/30/1991
Arkansas,AR,01/01/1988-04/28/2025,,04/01/2003-04/28/2025,01/01/1988-03/31/2003
California,CA,01/01/1988-01/01/2016,01/02/2016-04/28/2025,01/01/1988-01/01/2016,01/02/2016-04/28/2025
Colorado,CO,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Connecticut,CT,01/01/1988-04/27/2021,04/28/2021-04/28/2025,,01/01/1988-04/28/2025
Delaware,DE,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
District of Columbia,DC,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Florida,FL,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Georgia,GA,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Hawaii,HI,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Idaho,ID,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Illinois,IL,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Indiana,IN,01/01/1988-04/28/2025,,01/01/1988-05/05/1993,05/06/1993-04/28/2025
Iowa,IA,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Kansas,KS,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Kentucky,KY,01/01/1988-04/28/2025,,03/28/2021-04/28/2025,01/01/1988-03/27/2021
Louisiana,LA,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Maine,ME,01/01/1988-08/31/2021,09/01/2021-04/28/2025,01/01/1988-08/31/2021,09/01/2021-04/28/2025
Maryland,MD,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Massachusetts,MA,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Michigan,MI,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Minnesota,MN,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Mississippi,MS,07/15/2023-04/28/2025,01/01/1988-07/14/2023,,01/01/1988-04/28/2025
Missouri,MO,01/01/1988-04/28/2025,,01/01/1988-07/05/1992,07/06/1992-04/28/2025
Montana,MT,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Nebraska,NE,01/01/1988-04/28/2025,,01/01/1988-06/30/1994,07/01/1994-04/28/2025
Nevada,NV,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
New Hampshire,NH,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
New Jersey,NJ,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
New Mexico,NM,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
New York,NY,01/01/1988-06/12/2019,06/13/2019-04/28/2025,,01/01/1988-04/28/2025
North Carolina,NC,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
North Dakota,ND,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Ohio,OH,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Oklahoma,OK,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Oregon,OR,01/01/1988-04/28/2025,,06/26/2013-04/28/2025,01/01/1988-06/25/2013
Pennsylvania,PA,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Rhode Island,RI,01/01/1988-04/28/2025,,07/26/1993-04/28/2025,01/01/1988-07/25/1993
South Carolina,SC,10/19/1993-04/28/2025,01/01/1988-10/18/1993,,01/01/1988-04/28/2025
South Dakota,SD,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Tennessee,TN,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Texas,TX,01/01/1988-04/28/2025,,09/01/2003-04/28/2025,01/01/1988-08/31/2003
Utah,UT,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Vermont,VT,01/01/1988-04/28/2025,,01/01/1988-06/30/2016,07/01/2016-04/28/2025
Virginia,VA,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
Washington,WA,01/01/1988-04/28/2025,,01/01/1988-11/21/2019,11/22/2019-04/28/2025
West Virginia,WV,,01/01/1988-04/28/2025,,01/01/1988-04/28/2025
Wisconsin,WI,01/01/1988-04/28/2025,,01/01/1988-04/28/2025,
Wyoming,WY,01/01/1988-04/28/2025,,,01/01/1988-04/28/2025
